TITOLO,NOME_FILE,ABSTRACT_E_NOTE,VISTA,TATTO,OLFATTO,UDITO,GUSTO,INTERATTIVITÀ_0_2,TIPO_DI_DATO,Dato_DINAMICO_o_STATICO,CASO_D_USO
Blending the repertory grid technique with focus groups to reveal rich design relevant insight,DPPI13_paper2_Final,"Hanno preso dal COSM i dati relativi al livello di idrogeno rilevato nello spazio profondo e l’hanno fisicalizzato in 3 modi diversi:  led rgb,  una tavola vibrante su cui appoggiare le mani e l’emissione di frequenze digitali tramite cuffie (interessanti gli indici di gradimento che hanno utilizzato). E ne hano fatto un caso di studio su 24 individui.",1,1,0,1,0,1,idrogeno nello spazio,DINAMICO,studi universitari/vario
DATA OBJECTS: DESIGN PRINCIPLES FOR DATA PHYSICALISATION,DS92_125,"--> paper riguardo ai Data Objects, ovvero la produzione di oggetti industriali e non usato il Dato come materiale di design",,,,,,,,,
Dynamic Composite Data Physicalization Using Wheeled Micro-Robots,Dynamic_Composite_Data_Physicalization_Using_Wheeled_Micro_Robots_nocopyright,--> caso d'uso degli Zooids,,,,,,,,,
Data Edibilization: Representing Data with Food,ea409-wang,"--> studio sulla data Edibilization, ossia su come il cibo potrebbe essere usato per la rappresentazione di dati. studio di vari metodi di stampa 3d del cibo",,,,,,,,,
AwareKit: Exploring a Tangible Interaction Paradigm for Digital Calendars,ea1877-matviienko,prototipo che fisicalizza un software di calendario elettronico. Usa 4 moduli per tipologia di impegno e delle figure 3d per le persone. Si può giocare sia coi moduli che con le persone per vedere quali sono gli impegni di tutti,1,1,0,0,0,2,impegni personali e comuni,DINAMICO,uso quotidiano
Making data matter: Voxel printing for the digital fabrication of data across scales and domains,eaas8652.full,"Stampa 3d di modelli di varia natura, basata sui Voxel e sulla stratificazione dei materiali. Non so se è innovativo ma le stampe sembrano molto molto fighe",1,1,0,0,0,0,modelli 3d,STATICO,studi universitari/vario
EdiPulse: Investigating a Playful Approach to Self-monitoring through 3D Printed Chocolate Treats,edipulse_chi2017,"Hanno fatto una stampante 3d che usa il cioccolato come materiale di costruzione. E può creare 4 forme differenti : grafici , fiori, slogan e emoji. Tutte e 4 le rappresentazioni sono relative all’attività fisica di un individuo, e a seconda di quanta è stata l’attività fisica vengono fuori varie combinazioni delle 4 stampe.",1,1,1,0,1,1,attività fisica,STATICO,uso quotidiano
Embedded Data Representations,embedded-data-representations,"--> paper riguardo a vari esempi di embedded rapresentation, spesso si mischia con la realtà aumentata ( è una phys? solo visual?)",,,,,,,,,
Fantible F es: Cap pturing Cricke et Fan’s s Story in 3D,fantibles_dis2016,"Hanno fatto una stampa 3d rappresentante il tempo complessivo di una partita di cricket (divisa negli intervalli/eventi ) e di quanto un utente e commentasse l’andamento su Twitter. Il concetto è immortalare quella partita che è stata seguita in quel determinato momento, poiché la rappresentazione che ne esce è totalmente personale.",1,1,0,0,0,0,cronaca partita sportiva,STATICO,uso quotidiano
Floating Charts: Data Plotting using Free-Floating Acoustically Levitated Representations,FloatingCharts_Pure,"Hanno creato un macchinario per la levitazione acustica di palline di polistirolo, che puo avere molteplici configurazioni, molto molto figo",1,1,0,1,0,1,dataset generici/plot,STATICO,studi universitari/vario
Go and Grow: Mapping Personal Data to a Living Plant,goandgrow,"(NON PHYS?) Progetto Motivazionale, una pianta riceve più o meno acqua a seconda dell’attività fisica di una persona. Molto bello.",1,1,0,0,0,1,attività fisica,DINAMICO,uso quotidiano
How Does Representation Modality Affect User- Experience of Data Artifacts?,HAID12RepModality,Tre fisicalizzazioni su un unico dataset rappresentante l’inquinamento di 6 paesi: un meccanismo di posizionamento di una pedina che a seconda del paese su cui è appoggiata fa un determinato suono rappresentante il suo inquinamento.  Un cubo che a seconda della faccia su cui è appoggiato fa visualizzare su un lcd i dati del paese. E infine un barplot normalissimo.,1,1,0,1,0,1,dataset generici,STATICO,istruzione/intrattenimento
Infotropism: Living and Robot ic Plant s as Int eract ive Displays,holstius04-infotropism,"meccanismo di pianta robotica, che non mi è per niente chiaro. Credo sia legato a quanto reciclino le persone, poiché è stato messo vicino ai recycle bin di un bar.",1,0,0,0,0,0,indice di reciclaggio,DINAMICO,studi universitari/vario
Physikit: Data Engagement Through Physical Ambient Visualizations in the Home,Houben.CHI.2016,"Hanno creato 4 cubi “IoT” , ognuno dei quali implementa un tipo di fisicalizzazione differente, con luce, movimento rotazionale, aria e vibraizoni. Tutti i cubi sono settabili e personalizzabili tramite un’unica interfaccia utente (webapp/app) e prendono come input dei dati ambientali, sia locali (sensori sui cubi) o remoti (Smartcitizen).",1,1,0,1,0,2,dati ambientali,DINAMICO,uso quotidiano
Constructive Visualization,huron2014,--> paper su come costruire visualizations,,,,,,,,,
Hybrid Fabrication of Physicalizations,HybridFabricationofPhysicalization-DIS2016Workshop,--> paper su quanto sono potenzialmente belle le hybrid-physicalization (uomo-macchina),,,,,,,,,
Designing an Expandable Illuminated Ring to Build an Actuated Ring Chart,illuminated-ring_tei18_wip,"Struttura ad anello espandibile motorizzata, che rappresenta grafici fisici e dinamici per visualizzare le previsioni di energia rinnovabile negli spazi pubblci.",1,1,0,0,0,0,dati ambientali,STATICO,istruzione/intrattenimento
inFORM: Dynamic Physical Affordances and Constraints through Shape and Object Actuation,inFORM,"un quadrato composto da tantissimi pistoni (parallelepipedi) che si muovono dinamicamente e possono svolgere 4 funzioni ( On-demand UI elements through Dynamic Affordances,  Guiding interaction with Dynamic Constraints,  Object actuation,  Physical rendering of content and UI)  il rendering sono per lo più plot. ",1,1,0,0,0,1,dataset generici/vario,STATICO,istruzione/intrattenimento
In Touch with Space: Embodying Live Data For Tangible Interaction,In_touch_with_space_paper,"2 device: un cubo che se agitato vibra  e rappresenta il livello di idrogeno nello spazio profondo misurato dal COSM, e un ramo di legno con sopra dei led, dei sensori e connesso ad un bracciale che dà delle scosse(?e suona?) che rappresenta l’irradiazione solare all’incirca nel punto in cui si punta il bastone (dati sempre del COSM)",1,1,0,1,0,1,idrogeno e radiazioni solari nello spazio,DINAMICO,istruzione/intrattenimento
Pedagogy of CS Unplugged: Lessons from Outreach and Education Activities in Computer Science,Lawson_Kraemer_abstract,--> paper su workshop pedagogico,,,,,,,,,
Linespace: A Sensemaking Platform for the Blind,Linespace-CHI2016,"(bellissimo) tavolo quasi verticale fatta per i non vedenti. Vengono stampate (3d) delle linee e simboli sulla tavola rappresentanti una cartina geografica , per trovare case e orientarsi. Si possono impartire comandi in modo dinamico tramite l’uso della voce e l’uso di sticker gialli sulle dita che vengono analizzati da videocamere sopra alla tavola. ",0,1,0,1,0,2,cartina geografica / varie,STATICO,uso quotidiano
Exploring Qualitative Displays and Interfaces,Lockton_Ricketts_Chowdhury_Lee_2017_Exploring_Qualitative_Displays_and_Interfaces,"--> paper sulla CLASSIFICAZIONE dei dati in base alla quantitatività e qualitatività dei dati espressi e dei mezzi usati per esprimerli, dai più basilari ai più complessi",,,,,,,,,
Feeling Data: Touch and Data Sense,lupton_2017_feeling_data_touch_and_data_sense,--> paper su quanto è bello il tatto per la concezione dei dati e dice che bisogna usare più 3d printing,,,,,,,,,
Data-Things: Digital Fabrication Situated within Participatory Data Translation Activities,nissen-datatranslations-finalsmall,"Stampa 3d dinamica, che usa le api di Twitter per stampare forme rappresentanti le interazioni/pubblicazioni/post su un determinato hashtag, di ogni utente .",1,1,0,0,0,0,tweet,STATICO,uso ad hoc
Novel Physical Representations for the Visualisation of Science Data and Mathematics,Novel_physical_rapresentation,"Stampa 3d di 3 tipi: glasses free lenticular prints, 3D printing (also known as rapid prototyping) and crystal engraving.",1,1,0,0,0,0,plot/modelli3d,STATICO,studi universitari/vario
Exploring Interactions with Physically Dynamic Bar Charts,OA_2015_04_CHI_Emerge,"(figo) Bar chart dinamici che sono posizionati sopra un sistema di pistoni motorizzato, pieni di led, e sopra hanno una telecamera che analizza i movimenti delle mani. L’utente può interagire coi grafici fisicalizzati in molteplici modalità.",1,1,0,0,0,2,dataset generici,STATICO,istruzione/intrattenimento
INDEXICAL VISUALIZATION—THE DATA-LESS INFORMATION DISPLAY,offenhuber_telhan,--> paper su visualization,,,,,,,,,
Things of the Internet (ToI): Physicalization of Notification Data,p1228-Woodward,--> paper su come provare a embeddare negli oggetti di vita quotidiana i sistemi di notifica.,,,,,,,,,
Output to input: concepts for physical data representations and tactile user interfaces,p1813-szigeti,tangible charts con mattoncini tipo Lego.,1,1,0,0,0,0,dataset generici,STATICO,istruzione/intrattenimento
Patina Engraver: Visualizing Activity Logs as Patina in Fashionable Trackers,Patina_Engraver_paper,"è un bracciale per tracking dell’attività sportiva, che , ogni settimana l’utente mette sotto l’engraver, che ne incide i risultati permanente sul bracciale, così da vederlo in una rappresentazione più tangibile",1,1,0,0,0,1,attività fisica,DINAMICO,uso quotidiano
A Psychophysical Investigation of Size as a Physical Variable,perception_study_final,"esperimento su come vengono percepite le fisicalizzazioni a livello di dimensioni. Han testato delle stesse proporzioni, sia con parallelepipedi che con sfere , e han cercato di capire quali fossero meglio esplicative e quali la gente capisse meglio.",1,1,0,0,0,0,dataset generici,STATICO,istruzione/intrattenimento
Phygital Heritage: an Approach for Heritage Communication,Phygital_Heritage_Nofal_et_al_iLRN2017,--> paper con schema fatto sul livello di astrazione e non delle physicalization (da vedere schema),,,,,,,,,
PLANWELL: Spatial User Interface for Collaborative Petroleum Well- Planning,Planwell-SA,"(VISUALIZATION) Cartina 3d su cui si possono settare dei punti chiave, che poi sono visualizzabili in realtà aumentata tramite smatphone (bello)",1,1,0,0,0,2,coordinate geografiche,STATICO,istruzione/intrattenimento
Printing Walkable Visualizations,Printing_Walkable_Visualizations,(VISUALIZATION) visualizzazioni su pavimento,1,0,0,0,0,0,dataset generici,STATICO,istruzione/intrattenimento
Understanding Material Representations of Physical Activity,rohit_ashok_khot_phd,--> tesi sulla data physicalization in generale,,,,,,,,,
Tangible Interfaces for Structural Molecular Biology,S0969_2126_05_00060_2,"da modello fisico a modello virtuale in “realtime” tramite l’uso di una videocamera, che individua markers e pattern",1,1,0,0,0,1,modelli 3d,STATICO,studi universitari/vario
Towards a Framework for Dynamic Data Physicalisation,signer_DataPhys2018,"--> paper che dice che bisogna fare una classificazione delle physicalization e trovare un modo per fare una ""grammatica"" per questo tipo di progetti",,,,,,,,,
"Tracking @stemxcomet: Teaching Programming to Blind Students via 3D Printing, Crisis Management, and Twitter",stemx,"workshop su physicalization, che punta a fare la stampa 3d per persone cieche",1,1,0,0,0,2,dati di varia natura,STATICO,istruzione/intrattenimento
Vol 2 velle: Printable Interactive Volume Visualization,Stoppel_2017_VPI,"Ha fatto una ruota di cartoncino dove sostanzialmente a seconda di come la giri puoi vedere un determinato livello di un qualsiasi modello volumetrico, e spiega come farli personalizzati.",1,1,0,0,0,1,modelli 3d,STATICO,istruzione/intrattenimento
Beyond Physical Bar Charts – An Exploration of Designing Physical Visualizations,stusak2014chiPoster,esperimenti con cartone e poi plexiglass - somministrati a utenti varie età,1,1,0,0,0,0,vari numerici creati per testare concetto,STATICO,ricerca
Projection Augmented Physical Visualizations,stusak2014suiPoster,--> paper abbastanza inutile,,,,,,,,,
Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,stusak2014vis,"4 tipi di oggetti stampati 3d (a figure, a necklace, a lamp and a jar ) derivanti dai dati legati all’attività fisica (running) di 14 partecipanti ",1,1,0,0,0,0,attività fisica,STATICO,istruzione/intrattenimento
"If Your Mind Can Grasp It, Your Hands Will Help",stusak2016tei,barchart fatti sia in cubi 3d che in pezzetti di carta 2d,1,1,0,0,0,0,dataset generici,STATICO,istruzione/intrattenimento
EXPLORING THE POTENTIAL OF PHYSICAL VISUALIZATIONS,Stusak_Simon,--> tesi lunga e approfondita sulla physicalization . studia 6 prototipi (probabilmente quelli citati sopra) e trae conclusioni ,,,,,,,,,
